"AB Ref No.","ASN Ref No","Document No.","Material No.",Qty,BBD,"Fulfillment Status","Created By","Last Change"
000450,000123,B2B07092023Z152,9020000019,114,2024-04-04,Done,"Christian B. Salvacion","2023-07-10 04:14:54"
000451,000123,B2B07092023Z153,9020000019,1114,2024-03-04,Done,"Christian B. Salvacion","2023-07-10 04:14:58"
000452,000123,B2B07092023Z154,9020000025,1120,2024-04-01,Done,"Christian B. Salvacion","2023-07-10 04:15:04"
000453,000123,B2B07092023Z155,9020000025,3131,2024-02-29,Done,"Christian B. Salvacion","2023-07-10 04:15:09"
000454,000123,B2B07092023Z156,9020000025,1120,2024-04-02,Done,"Christian B. Salvacion","2023-07-10 04:15:15"
000455,000127,9800516633,9020000022,512,2024-04-05,Done,"Christian Cordova","2023-07-10 01:59:12"
000456,000127,9800516633,9020000022,96,2024-04-06,Done,"Christian Cordova","2023-07-10 01:59:31"
000457,000127,9800516633,9020000022,32,2024-04-08,Done,"Christian Cordova","2023-07-10 01:59:42"
000458,000127,9800516634,9020000022,507,2024-04-05,Done,"Christian Cordova","2023-07-10 07:50:40"
000459,000127,9800516634,9020000022,127,2024-04-06,Done,"Christian Cordova","2023-07-10 07:50:51"
000460,000127,9800516632,9020000018,635,2024-04-04,Done,"Shilaley Trilles","2023-07-10 06:28:55"
000461,000127,9800516635,9020000236,1139,2024-01-05,Done,"Shilaley Trilles","2023-07-13 14:55:51"
000462,000127,9800516635,9020000236,60,2024-01-06,Done,"Shilaley Trilles","2023-07-13 14:56:01"
000463,000124,B2B07092023Z157,9020000034,815,2024-02-10,Done,"Christian B. Salvacion","2023-07-10 06:46:44"
000464,000124,B2B07092023Z158,9020000034,4058,2024-02-19,Done,"Christian B. Salvacion","2023-07-10 06:46:57"
000465,000124,B2B07092023Z159,9020000034,634,2024-02-11,Done,"Christian B. Salvacion","2023-07-10 06:47:29"
000466,000124,B2B07092023Z160,9020000034,200,2023-12-14,Done,"Christian B. Salvacion","2023-07-10 06:47:59"
000467,000124,B2B07092023Z161,9020000034,2240,2024-04-04,Done,"Christian B. Salvacion","2023-07-10 06:48:27"
000468,000124,B2B07092023Z162,9020000040,90,2023-11-24,Done,"Christian B. Salvacion","2023-07-10 06:48:43"
000469,000124,B2B07092023Z163,9020000022,1195,2024-03-10,Done,"Christian B. Salvacion","2023-07-10 06:49:10"
